year,province,SAC_code,SAC_name,CTUID,fuel_type,fuel_type_description,value
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050001.01,BEV,Battery electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050001.01,PHEV,Plug-in hybrid electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050001.01,ZEV,All zero-emission vehicles (BEV and PHEV),2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050001.04,BEV,Battery electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050001.04,ZEV,All zero-emission vehicles (BEV and PHEV),1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050001.05,BEV,Battery electric vehicles,6
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050001.05,PHEV,Plug-in hybrid electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050001.05,ZEV,All zero-emission vehicles (BEV and PHEV),9
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050001.06,BEV,Battery electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050001.06,PHEV,Plug-in hybrid electric vehicles,5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050001.06,ZEV,All zero-emission vehicles (BEV and PHEV),7
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050001.07,BEV,Battery electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050001.07,PHEV,Plug-in hybrid electric vehicles,4
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050001.07,ZEV,All zero-emission vehicles (BEV and PHEV),5
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050001.08,BEV,Battery electric vehicles,3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050001.08,PHEV,Plug-in hybrid electric vehicles,6
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050001.08,ZEV,All zero-emission vehicles (BEV and PHEV),9
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050002.01,BEV,Battery electric vehicles,6
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050002.01,PHEV,Plug-in hybrid electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050002.01,ZEV,All zero-emission vehicles (BEV and PHEV),8
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050002.02,BEV,Battery electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050002.02,PHEV,Plug-in hybrid electric vehicles,6
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050002.02,ZEV,All zero-emission vehicles (BEV and PHEV),7
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050002.04,PHEV,Plug-in hybrid electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050002.04,ZEV,All zero-emission vehicles (BEV and PHEV),1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050002.05,BEV,Battery electric vehicles,2
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050002.05,PHEV,Plug-in hybrid electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050002.05,ZEV,All zero-emission vehicles (BEV and PHEV),3
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050002.06,BEV,Battery electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050002.06,PHEV,Plug-in hybrid electric vehicles,1
2017,ON,505,"Ottawa - Gatineau, Ontario part [35505]",5050002.06,ZEV,All zero-emission vehicles (BEV and PHEV),2
